Country Name,Country Code,Access to electricity (% of population),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, secondary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)",CO2 Emissions (million tonnes),CO2 Emissions per Capita,population,GDP (CO2 dataset)
Marshall Islands,MHL,100.0,6678.342390604476,65.7,66.945,-3.16867227675357,88.6602113500235,5.1835,0.15,3.743,40094.0,99281829888.0
Mauritania,MRT,50.3,2120.8231842174737,37.4,68.484,2.96653079197429,88.6602113500235,10.446,4.578,0.939,4875645.0,15674545152.0
Mauritius,MUS,100.0,11182.186568616036,79.5,73.41219512195123,-0.117452949112512,88.6602113500235,5.571,3.928,3.078,1276134.0,26988574720.0
Mexico,MEX,99.7,13826.130657012192,81.2,75.069,0.872178517508623,88.6602113500235,2.765,465.336,3.618,128613113.0,2033440000000.0
"Micronesia, Fed. Sts.",FSM,86.9,3941.3724788741365,80.80000000000001,67.198,0.459189928699194,88.6602113500235,5.1835,0.146,1.305,112124.0,99281829888.0
"Middle East, North Africa, Afghanistan & Pakistan",MEA,96.42263674352742,6063.0524765786395,80.80000000000001,72.0839412410497,1.9558361612801785,80.7579116821289,8.078864426067828,11.355,2.8655,7348056.0,99281829888.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,96.05749468370914,2792.7145754574185,80.80000000000001,71.3194560888195,1.734309445883124,88.6602113500235,8.91907614245528,11.355,2.8655,7348056.0,99281829888.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,96.08542874687339,2797.4073071931625,80.80000000000001,71.27588498845826,1.7389631394100287,88.6602113500235,8.91907614245528,11.355,2.8655,7348056.0,99281829888.0
Middle income,MIC,95.15838846329633,6347.753919283718,80.80000000000001,72.7431938727471,0.7608335900982055,78.8556671142578,5.071622525074708,11.355,2.8655,7348056.0,99281829888.0
Moldova,MDA,100.0,6799.585946445756,80.2,71.198,-2.84274212689094,88.6602113500235,1.555,5.79,1.905,3039987.0,23827554304.0
Monaco,MCO,100.0,256580.51512274524,99.1,86.372,0.064195567574974,88.6602113500235,5.1835,11.355,2.8655,38949.0,99281829888.0
Mongolia,MNG,100.0,5838.6310808390235,83.0,72.12243902439025,1.3708886685104,99.1215283290276,5.503,43.415,12.822,3386015.0,44809465856.0
Montenegro,MNE,100.0,12077.374709468748,89.8,77.58780487804879,-0.00994290846928265,93.8724975585938,14.621,2.391,3.889,614650.0,12774400000.0
Morocco,MAR,100.0,3771.4462890625,91.0,75.313,1.02195181223548,89.7980422973633,9.044,69.506,1.862,37329069.0,311655000000.0
Mozambique,MOZ,36.0,622.9856193205957,19.8,63.611,2.95358093047219,88.6602113500235,3.519,8.358,0.256,32656240.0,31441725440.0
Myanmar,MMR,76.8,1233.1966620926912,58.5,66.889,0.698879396261223,88.6602113500235,3.032,29.533,0.549,53756790.0,291025000000.0
Namibia,NAM,56.7,4187.605003507864,64.4,67.385,2.50947899094054,88.6602113500235,19.365,4.085,1.414,2889668.0,21858732032.0
Nauru,NRU,100.0,12754.186756658484,80.80000000000001,62.109,0.625107627709329,88.4923095703125,5.1835,0.056,4.761,11821.0,99281829888.0
Nepal,NPL,94.0,1382.3305576930356,55.800000000000004,70.354,-0.0700958873206174,89.5513635551859,10.628,16.089,0.541,29715434.0,95965913088.0
Netherlands,NLD,100.0,64572.00595588537,97.0,81.91463414634147,0.990139686700227,88.6602113500235,3.537,127.241,7.107,17904422.0,879609000000.0
New Caledonia,NCL,100.0,7826.353764832983,80.80000000000001,78.766,0.952185123510063,88.6602113500235,10.939,5.115,17.815,287131.0,99281829888.0
New Zealand,NZL,100.0,48654.904227477964,96.2,83.00487804878051,2.46873695154606,88.6602113500235,3.729,31.61,6.16,5131733.0,200603000000.0
Nicaragua,NIC,88.3,2609.444920729308,58.199999999999996,74.947,1.37167812196347,69.6625518798828,4.716,5.296,0.787,6730661.0,32764782592.0
Niger,NER,20.1,638.3360807232988,23.200000000000003,61.183,3.29489175812772,22.8998107910156,0.425,2.697,0.107,25311977.0,24776755200.0
Nigeria,NGA,61.2,1596.6369612900096,39.2,54.462,2.09838916935738,88.6602113500235,3.074,131.568,0.59,223150906.0,1134450000000.0
North America,NAC,100.0,79326.90765995708,80.80000000000001,78.7328213732191,1.0497573136680451,98.4308700561523,3.840737513217637,11.355,2.8655,7348056.0,99281829888.0
North Macedonia,MKD,100.0,8624.284002321167,87.2,75.31609756097562,-0.212923714310977,88.6602113500235,13.174,7.127,3.873,1840236.0,28770254848.0
Northern Mariana Islands,MNP,100.0,7826.353764832983,80.80000000000001,78.808,-2.05003835843766,88.6602113500235,5.1835,11.355,2.8655,7348056.0,99281829888.0
Norway,NOR,100.0,87497.32892973417,99.0,83.11219512195123,1.13818460655469,88.6602113500235,3.572,40.808,7.478,5456795.0,482328000000.0
OECD members,OED,99.9229805241215,46672.51399167617,80.80000000000001,80.16155730114328,0.677494326266977,105.292877197266,4.825673308101596,11.355,2.8655,7348056.0,99281829888.0
Oman,OMN,100.0,20972.48308866368,95.3,80.031,6.52704988451128,96.7101211547852,3.176,76.606,16.195,4730227.0,177355000000.0
Other small states,OSS,94.50407606507724,15151.466491535804,80.80000000000001,73.56469450943432,1.1214069365420845,88.6602113500235,8.42854222604094,11.355,2.8655,7348056.0,99281829888.0
Pacific island small states,PSS,88.87057136185011,4153.1970662851745,80.80000000000001,69.27459490358558,1.2412995920967331,88.6602113500235,3.1810855077728517,11.355,2.8655,7348056.0,99281829888.0
Pakistan,PAK,95.6,1365.1692741097577,27.400000000000002,67.649,1.54880458608849,88.6602113500235,5.408,223.834,0.918,243700667.0,1318830000000.0
Palau,PLW,100.0,15899.424606532408,80.80000000000001,69.269,-0.180352864081089,93.8885157824043,5.1835,0.218,12.236,17784.0,99281829888.0
Panama,PAN,97.0,18686.405096126524,78.0,79.594,1.30902688797168,88.6602113500235,6.544,11.356,2.58,4400772.0,94762123264.0
Papua New Guinea,PNG,20.5,2966.0683043205463,24.099999999999998,66.134,1.81103162496893,88.6602113500235,2.661,8.201,0.804,10203176.0,99281829888.0
Paraguay,PRY,99.8,6299.990265336433,78.10000000000001,73.844,1.23021616038983,79.5136489868164,5.794,8.107,1.199,6760461.0,65127632896.0
Peru,PER,96.2,7887.54185920108,79.5,77.74,1.09975320783678,105.903396606445,4.899,54.793,1.637,33475435.0,341678000000.0
Philippines,PHL,98.0,3804.0827413109687,83.8,69.833,0.810000998681961,92.8650157810305,2.222,144.898,1.271,113964342.0,1014810000000.0
Poland,POL,100.0,22145.264308890855,86.4,78.50731707317074,-0.365658526875775,88.6602113500235,2.743,315.042,8.207,38385734.0,1231020000000.0
Portugal,PRT,100.0,27386.292059502382,85.8,82.28048780487806,1.36912985956796,88.6602113500235,6.509,40.687,3.906,10417075.0,295713000000.0
Post-demographic dividend,PST,100.0,53961.34181045199,80.80000000000001,80.8228346378274,0.3541659769524648,103.87638092041,4.466412922510134,11.355,2.8655,7348056.0,99281829888.0
Pre-demographic dividend,PRE,52.53098832017884,1416.3335304095142,80.80000000000001,62.16362989027908,2.5381439712891662,88.6602113500235,4.700607932822396,11.355,2.8655,7348056.0,99281829888.0
Puerto Rico (US),PRI,100.0,36948.40364168461,80.80000000000001,81.69,-0.508879698773044,113.633651733398,5.725,11.355,2.8655,7348056.0,99281829888.0
Romania,ROU,100.0,18404.27308717039,89.2,76.60731707317075,0.057609980983218,88.6602113500235,5.589,72.993,3.808,19166776.0,504742000000.0
Russian Federation,RUS,100.0,14159.3876953125,92.2,73.25463414634149,-0.285217600763343,92.4840469360352,3.076,1802.19,12.379,145579890.0,3731440000000.0
Rwanda,RWA,63.9,1027.0344680443206,34.2,67.785,2.1984982050137,45.1251487731934,12.352,1.541,0.113,13651026.0,28466253824.0
Samoa,WSM,100.0,4330.178405313288,58.099999999999994,71.698,0.649190563116911,88.6602113500235,4.977,0.251,1.168,215269.0,99281829888.0
San Marino,SMR,100.0,7826.353764832983,87.0,85.706,0.310582221115543,60.7940406799316,5.1835,11.355,2.8655,34113.0,99281829888.0
Sao Tome and Principe,STP,81.3,2940.933529267149,61.5,69.718,1.99754660166419,88.6602113500235,9.071,0.16,0.706,226313.0,825238400.0
Senegal,SEN,74.2,1698.0338730084263,60.6,68.683,2.38738348832592,45.5100593566895,2.8,12.275,0.695,17651099.0,51913994240.0
Serbia,SRB,100.0,12281.505848830267,85.39999999999999,76.2209756097561,-0.621120944154492,88.6602113500235,8.268,43.517,6.408,6791218.0,116835000000.0
Seychelles,SYC,100.0,18262.711584928707,87.4,74.95853658536586,-0.0876274304874622,74.2514419555664,5.1835,0.554,4.411,125532.0,3053368064.0
Sierra Leone,SLE,35.5,757.8486805604443,20.599999999999998,61.786,2.19524258771884,88.6602113500235,3.153,1.278,0.154,8276808.0,11681270784.0
Singapore,SGP,100.0,85412.23034523505,94.3,82.89512195121952,4.85831607781442,88.6602113500235,3.444,47.873,8.473,5649886.0,461801000000.0
Sint Maarten (Dutch part),SXM,100.0,38077.54448697614,80.80000000000001,76.371,1.43721256242405,88.6602113500235,5.1835,0.664,15.755,42163.0,99281829888.0
Slovak Republic,SVK,100.0,24673.54829791439,87.2,78.01707317073172,-0.0923148510113108,88.6602113500235,5.84,31.55,5.765,5473194.0,150360000000.0
Slovenia,SVN,100.0,32610.11092272899,90.4,81.97804878048781,0.396216782960902,88.6602113500235,3.652,12.701,6.005,2115230.0,69385347072.0
